version;count
9.3.1;11,710,337
9.2.1;2,601,211
9.1;994,798
9.2;862,972
8.3;642,075
9.3.2;617,041
9.3;542,259
7.1.2;509,100
8.4;383,089
8.4.1;361,975
8.1.3;230,725
8.1.2;219,631
7.1.1;187,235
7.0.4;161,525
8.2;159,488
8.1;155,251
9.0.2;145,124
7.1;99,848
8.1.1;88,258
6.1.3;77,553
5.1.1;75,633
8.0.2;63,054
9.0.1;46,940
9.0;46,531
7.0.6;41,122
7.0.3;32,405
6.0.1;32,166
8.0;30,553
7.0;26,708
7.0.2;21,415
4.3.5;15,277
6.1;13,358
6.1.2;11,400
6.0;10,321
4.3.3;9,455
6.1.4;8,561
5.1;8,223
5.0.1;7,771
(not set);7,390
5.0;6,599
6.1.6;5,087
4.2.1;4,288
6.0.2;4,230
7.0.5;1,927
4.3;1,610
3.2;1,266
4.3.1;842
7.0.1;699
4.1;688
4.3.2;625
4.2;368
4.0;346
3.1.3;338
4.3.4;328
3.2.2;152
6.1.1;85
10.0;64
4.0.2;40
9.3.3;35
3.1.1;33
3.1.2;26
3.0;6
4.2.6;6
6.1.5;5
2.0;4
10.11.4;3
2.2.1;3
8.0.1;3
4.0.1;2
8.0.0;1
9.3.0;1
